iter	Passed	Remaining
0	3	314
1	5	275
2	8	276
3	11	274
4	14	268
5	17	267
6	19	259
7	21	251
8	24	249
9	27	247
10	30	244
11	33	243
12	34	231
13	37	228
14	40	229
15	43	226
16	46	224
17	49	224
18	51	220
19	54	219
20	58	218
21	61	216
22	64	215
23	67	212
24	70	210
25	73	208
26	77	208
27	81	210
28	85	209
29	89	208
30	91	204
31	93	199
32	95	194
33	98	191
34	100	187
35	103	184
36	106	181
37	109	178
38	112	176
39	115	172
40	117	168
41	119	165
42	122	161
43	124	158
44	126	154
45	129	151
46	131	148
47	133	144
48	136	142
49	140	140
50	143	138
51	146	135
52	149	132
53	153	130
54	155	127
55	158	124
56	162	122
57	165	119
58	168	117
59	171	114
60	173	111
61	177	108
62	180	105
63	182	102
64	184	99
65	187	96
66	189	93
67	192	90
68	194	87
69	196	84
70	199	81
71	202	78
72	206	76
73	210	73
74	213	71
75	216	68
76	219	65
77	221	62
78	224	59
79	226	56
80	230	53
81	232	51
82	234	48
83	236	45
84	238	42
85	241	39
86	243	36
87	244	33
88	247	30
89	249	27
90	251	24
91	253	22
92	255	19
93	257	16
94	259	13
95	261	10
96	263	8
97	266	5
98	268	2
99	270	0
